weight,fighter1,fighter2,method,round_end,time,date,event
"Lightweight
","Dustin Poirier
","Eddie Alvarez
","TKO (punches and elbow)
","2
","4:05
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Featherweight
","José Aldo
","Jeremy Stephens
","TKO (punches)
","1
","4:19
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Women's Strawweight
","Joanna Jędrzejczyk
","Tecia Torres
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Lightweight
","Alexander Hernandez
","Olivier Aubin-Mercier
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Welterweight
","Jordan Mein
","Alex Morono
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Featherweight
","Hakeem Dawodu
","Austin Arnett
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Lightweight
","Islam Makhachev
","Kajan Johnson
","Submission (armbar)
","1
","4:43
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Light Heavyweight
","Ion Cuțelaba
","Gadzhimurad Antigulov
","TKO (punches and elbows)
","1
","4:25
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Lightweight
","John Makdessi
","Ross Pearson
","Decision (unanimous) (30-26, 29-27, 29-28)
","3
","5:00
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Women's Flyweight
","Katlyn Chookagian
","Alexis Davis
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Flyweight
","Dustin Ortiz
","Matheus Nicolau
","KO (head kick and punches)
","1
","3:49
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Women's Strawweight
","Nina Ansaroff
","Randa Markos
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Lightweight
","Devin Powell
","Álvaro Herrera
","TKO (body kicks and punches)
","1
","1:52
","Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2
"Light Heavyweight
","Anthony Smith
","Maurício Rua
","KO (elbow and punches)
","1
","1:29
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Light Heavyweight
","Corey Anderson
","Glover Teixeira
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Middleweight
","Abu Azaitar
","Vitor Miranda
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Heavyweight
","Marcin Tybura
","Stefan Struve
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Welterweight
","Danny Roberts
","David Zawada
","Decision (split) (27-30, 29-28, 29-28)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Lightweight
","Nasrat Haqparast
","Marc Diakiese
","Decision (unanimous) (30-27, 30-27, 30-26)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Lightweight
","Damir Hadžović
","Nick Hein
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Welterweight
","Bartosz Fabiński
","Emil Weber Meek
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Featherweight
","Nad Narimani
","Khalid Taha
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Light Heavyweight
","Aleksandar Rakić
","Justin Ledet
","Decision (unanimous) (30-25, 30-24, 30-24)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Bantamweight
","Manny Bermudez
","Davey Grant
","Technical Submission (triangle choke)
","1
","0:59
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Light Heavyweight
","Darko Stošić
","Jeremy Kimball
","TKO (elbows and punches)
","1
","3:13
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Bantamweight
","Liu Pingyuan
","Damian Stasiak
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jul 22, 2018",UFC Fight Night: Shogun vs. Smith
"Heavyweight
","Junior dos Santos
","Blagoy Ivanov
","Decision (unanimous) (50-45, 50-45, 50-45)
","5
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Welterweight
","Sage Northcutt
","Zak Ottow
","KO (punches)
","2
","3:13
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Featherweight
","Rick Glenn
","Dennis Bermudez
","Decision (split) (30-27, 28-29, 29-28)
","3
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Welterweight
","Niko Price
","Randy Brown
","KO (punches)
","2
","1:09
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Featherweight
","Chad Mendes
","Myles Jury
","TKO (punches)
","1
","2:52
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Women's Bantamweight
","Cat Zingano
","Marion Reneau
","Decision (unanimous) (30-27, 30-27, 30-26)
","3
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Bantamweight
","Alejandro Pérez
","Eddie Wineland
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Featherweight
","Alexander Volkanovski
","Darren Elkins
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Flyweight
","Said Nurmagomedov
","Justin Scoggins
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Featherweight
","Raoni Barcelos
","Kurt Holobaugh
","KO (punches)
","3
","1:29
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Women's Flyweight
","Liz Carmouche
","Jennifer Maia
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Flyweight
","Mark De La Rosa
","Elias Garcia
","Submission (rear-naked choke)
","2
","2:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Women's Strawweight
","Jessica Aguilar
","Jodie Esquibel
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov
"Heavyweight
","Daniel Cormier
","Stipe Miocic (c)
","KO (punches)
","1
","4:33
","Jul 7, 2018",UFC 226
"Heavyweight
","Derrick Lewis
","Francis Ngannou
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Jul 7, 2018",UFC 226
"Welterweight
","Mike Perry
","Paul Felder
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jul 7, 2018",UFC 226
"Lightweight
","Anthony Pettis
","Michael Chiesa
","Submission (triangle armbar)
","2
","0:52
","Jul 7, 2018",UFC 226
"Light Heavyweight
","Khalil Rountree Jr.
","Gökhan Saki
","TKO (punches)
","1
","1:36
","Jul 7, 2018",UFC 226
"Middleweight
","Paulo Costa
","Uriah Hall
","TKO (punches)
","2
","2:38
","Jul 7, 2018",UFC 226
"Bantamweight
","Raphael Assunção
","Rob Font
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 7, 2018",UFC 226
"Lightweight
","Drakkar Klose
","Lando Vannata
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 7, 2018",UFC 226
