,fighter1,fighter2,method,date,event,class
0,Dustin Poirier,Eddie Alvarez,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
1,José Aldo,Jeremy Stephens,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Featherweight
2,Joanna Jędrzejczyk,Tecia Torres,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Women's Strawweight
3,Alexander Hernandez,Olivier Aubin-Mercier,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
4,Jordan Mein,Alex Morono,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Welterweight
5,Hakeem Dawodu,Austin Arnett,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Featherweight
6,Islam Makhachev,Kajan Johnson,Submission,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
7,Ion Cuțelaba,Gadzhimurad Antigulov,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Light Heavyweight
8,John Makdessi,Ross Pearson,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
9,Katlyn Chookagian,Alexis Davis,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Women's Flyweight
10,Dustin Ortiz,Matheus Nicolau,KO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Flyweight
11,Nina Ansaroff,Randa Markos,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Women's Strawweight
12,Devin Powell,Álvaro Herrera,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
13,Anthony Smith,Maurício Rua,KO,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
14,Corey Anderson,Glover Teixeira,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
15,Abu Azaitar,Vitor Miranda,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Middleweight
16,Marcin Tybura,Stefan Struve,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Heavyweight
17,Danny Roberts,David Zawada,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Welterweight
18,Nasrat Haqparast,Marc Diakiese,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Lightweight
19,Damir Hadžović,Nick Hein,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Lightweight
20,Bartosz Fabiński,Emil Weber Meek,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Welterweight
21,Nad Narimani,Khalid Taha,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Featherweight
22,Aleksandar Rakić,Justin Ledet,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
23,Manny Bermudez,Davey Grant,Technical Submission,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Bantamweight
24,Darko Stošić,Jeremy Kimball,TKO,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
25,Liu Pingyuan,Damian Stasiak,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Bantamweight
26,Junior dos Santos,Blagoy Ivanov,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Heavyweight
27,Sage Northcutt,Zak Ottow,KO,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Welterweight
28,Rick Glenn,Dennis Bermudez,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Featherweight
29,Niko Price,Randy Brown,KO,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Welterweight
30,Chad Mendes,Myles Jury,TKO,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Featherweight
31,Cat Zingano,Marion Reneau,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Women's Bantamweight
