First,Last,Nickname,Ht,Wt,Reach,Stance,Win,Loss,Draw,Belt


"
Tom
","
Aaron
","

","
          --
        ","
          155 lbs.
        ","
          --
        ","
","
          5
        ","
          3
        ","
          0
        ","
"
"
Danny
","
Abbadi
","
The Assassin
","
          5' 11""
        ","
          155 lbs.
        ","
          --
        ","
          Orthodox
        ","
          4
        ","
          6
        ","
          0
        ","
"
"
David
","
Abbott
","
Tank
","
          6' 0""
        ","
          265 lbs.
        ","
          --
        ","
          Switch
        ","
          10
        ","
          14
        ","
          0
        ","
"
"
Shamil
","
Abdurakhimov
","
Abrek
","
          6' 3""
        ","
          235 lbs.
        ","
          76.0""
        ","
          Orthodox
        ","
          18
        ","
          4
        ","
          0
        ","
"
"
Hiroyuki
","
Abe
","
Abe Ani
","
          5' 6""
        ","
          145 lbs.
        ","
          --
        ","
          Orthodox
        ","
          8
        ","
          14
        ","
          3
        ","
"
"
Daichi
","
Abe
","

","
          5' 11""
        ","
          170 lbs.
        ","
          71.0""
        ","
          Orthodox
        ","
          6
        ","
          2
        ","
          0
        ","
"
"
Papy
","
Abedi
","
Makambo
","
          5' 11""
        ","
          185 lbs.
        ","
          74.0""
        ","
          Southpaw
        ","
          9
        ","
          3
        ","
          0
        ","
"
"
Ricardo
","
Abreu
","
Demente
","
          5' 11""
        ","
          185 lbs.
        ","
          73.0""
        ","
          Orthodox
        ","
          5
        ","
          3
        ","
          0
        ","
"
"
Daniel
","
Acacio
","

","
          5' 8""
        ","
          180 lbs.
        ","
          --
        ","
          Orthodox
        ","
          26
        ","
          12
        ","
          0
        ","
"
"
Scott
","
Adams
","

","
          6' 0""
        ","
          225 lbs.
        ","
          --
        ","
          Southpaw
        ","
          8
        ","
          1
        ","
          0
        ","
"
"
Juan
","
Adams
","
The Kraken
","
          6' 5""
        ","
          265 lbs.
        ","
          81.0""
        ","
          Orthodox
        ","
          3
        ","
          0
        ","
          0
        ","
"
"
Anthony
","
Adams
","
Sugafoot
","
          6' 0""
        ","
          185 lbs.
        ","
          77.0""
        ","
          Orthodox
        ","
          7
        ","
          0
        ","
          0
        ","
"
"
Israel
","
Adesanya
","
The Last Stylebender
","
          6' 4""
        ","
          185 lbs.
        ","
          80.0""
        ","
          Switch
        ","
          14
        ","
          0
        ","
          0
        ","
"
"
Sam
","
Adkins
","
The Experience
","
          6' 3""
        ","
          225 lbs.
        ","
          --
        ","
          Orthodox
        ","
          7
        ","
          20
        ","
          2
        ","
"
"
Nick
","
Agallar
","

","
          5' 8""
        ","
          155 lbs.
        ","
          --
        ","
          Orthodox
        ","
          24
        ","
          6
        ","
          0
        ","
"
"
Marcelo
","
Aguiar
","

","
          5' 10""
        ","
          170 lbs.
        ","
          --
        ","
          Orthodox
        ","
          2
        ","
          3
        ","
          1
        ","
"
"
Edwin
","
Aguilar
","
Tigre
","
          5' 10""
        ","
          185 lbs.
        ","
          --
        ","
","
          22
        ","
          16
        ","
          0
        ","
"
"
Jessica
","
Aguilar
","
Jag
","
          5' 3""
        ","
          115 lbs.
        ","
          63.0""
        ","
          Orthodox
        ","
          20
        ","
          6
        ","
          0
        ","
"
