Name,Record,Height,Weight
Shamil Abdurakhimov,18-4-0,190,235
Daichi Abe,6-1-0,180,170
Juan Adams,3-0-0,195,265
Israel Adesanya,14-0-0,193,185
Jessica Aguilar,20-6-0,162,115
Kevin Aguilar,14-1-0,170,155
Omari Akhmedov,17-4-1,182,185
Yoshihiro Akiyama,"14-6-0, 2NC",177,170
Junior Albini,14-4-0,190,265
Alexandra Albu,7-0-0,160,115
Iuri Alcantara,"35-9-0, 1NC",175,135
Hector Aldana,4-0-0,180,170
Irene Aldana,8-4-0,175,135
Jose Aldo,26-4-0,170,145
JJ Aldrich,6-2-0,165,115
Abdul Razak Alhass...,9-1-0,177,170
Sultan Aliev,14-3-0,182,170
Arnold Allen,13-1-0,172,145
Thomas Almeida,22-3-0,170,135
Eddie Alvarez,"29-5-0, 1NC",175,155
Jaime Alvarez,7-1-0,172,125
Thiago Alves,27-12-0,175,170
Warlley Alves,13-2-0,180,170
Sam Alvey,"33-10-0, 1NC",187,205
Makwan Amirkhani,14-3-0,177,145
Eryk Anders,10-1-0,185,185
Corey Anderson,12-4-0,190,205
Megan Anderson,8-3-0,182,145
Jessica Andrade,18-6-0,157,115
Magomed Ankalaev,9-0-0,187,205
Nina Ansaroff,8-5-0,165,115
Gadzhimurad Antigu...,20-4-0,180,205
Adam Antolin,13-3-0,165,125
Zu Anyanwu,14-5-0,185,240
Shinsho Anzai,10-2-0,170,170
Josh Appelt,15-7-0,177,243
Felipe Arantes,"18-9-1, 2NC",172,135
Julio Arce,15-2-0,170,145
Andrei Arlovski,"27-16-0, 1NC",190,240
Austin Arnett,15-4-0,182,145
Cyril Asker,9-4-0,182,247
Raphael Assuncao,27-5-0,165,135
Olivier Aubin-Merc...,12-2-0,175,155
Jessin Ayari,16-4-0,182,170
Abu Azaitar,"14-1-1, 1NC",177,185
Siyar Bahadurzada,23-6-1,180,170
Humberto Bandenay,"14-5-0, 1NC",185,145
Tae Hyun Bang,18-10-0,175,155
Renan Barao,"36-6-0, 1NC",167,135
Maycee Barber,4-0-0,165,115
Bryan Barberena,13-5-0,182,170
Edson  Barboza,19-5-0,180,155
Raoni Barcelos,12-1-0,170,145
Josh Barnett,35-8-0,190,250
Enrique Barzola,16-3-1,170,145
Mirsad Bektic,13-1-0,172,145
Vitor Belfort,"26-14-0, 1NC",182,185
Marco Beltran,8-7-0,172,125
Joseph Benavidez,25-5-0,162,125
Gabriel Benitez,21-7-0,172,145
Ryan Benoit,10-5-0,165,125
Keith Berish,"5-1-0, 1NC",182,185
Dennis Bermudez,17-9-0,167,145
Manny Bermudez,13-0-0,177,135
Talita Bernardo,5-2-0,162,135
Anton Berzin,5-2-0,187,205
Matt Bessette,"22-9-0, 1NC",177,145
Magomed Bibulatov,14-1-0,165,125
Chris Birchler,7-4-0,190,205
Michael Bisping,31-9-0,185,185
Jan Blachowicz,21-7-0,187,205
Curtis Blaydes,"10-1-0, 1NC",193,265
Dashawn Boatwright,3-1-0,182,205
Kyle Bochniak,8-3-0,170,145
James Bochnovic,8-3-0,193,185
Tim Boetsch,21-12-0,182,185
Ray Borg,11-3-0,162,125
Steve Bosse,12-2-0,180,205
Poliana Botelho,7-1-0,172,115
David Branch,21-4-0,185,185
Martin Bravo,12-2-0,172,145
Tom Breese,11-1-0,190,185
Henry Briones,19-8-1,172,135
Jarred Brooks,13-2-0,160,125
Will Brooks,18-4-0,177,155
Damien Brown,17-12-0,177,155
Matt Brown,23-16-0,182,170
Randy Brown,10-3-0,190,170
Travis Browne,18-7-1,200,255
Derek Brunson,18-6-0,185,185
Dennis Bryant,5-1-0,185,205
Wuliji Buren,10-5-0,175,145
Shane Burgos,10-1-0,180,145
Joshua Burkman,"29-17-0, 1NC",177,170
Mads Burnell,9-3-0,175,145
Gilbert Burns,14-3-0,177,155
Martin Buschkamp,"9-0-0, 1NC",175,145
JP Buys,4-2-0,167,125
Charles Byrd,9-4-0,177,185
Alex Caceres,"14-11-0, 1NC",177,145
Priscila Cachoeira,8-1-0,170,125
Joanne Calderwood,11-3-0,167,115
Cynthia Calvillo,6-1-0,162,115
Frank Camacho,21-6-0,175,155
Brian Camozzi,7-5-0,187,170
Chris Camozzi,24-13-0,187,185
Carlos Candelario,7-0-0,172,125
Ronaldo Candido,6-1-0,170,125
Guido Cannetti,8-3-0,167,135
Jared Cannonier,10-4-0,180,205
Bryan Caraway,21-9-0,172,135
Antonio Carlos Jun...,"11-2-0, 1NC",187,185
Liz Carmouche,11-6-0,167,125
Tim Caron,9-2-0,185,185
Johnny Case,22-6-0,177,155
Cortney Casey,7-5-0,170,115
John Castaneda,14-2-0,170,135
Magnus Cedenblad,14-5-0,190,185
Henry Cejudo,12-2-0,162,125
Donald Cerrone,"33-11-0, 1NC",185,170
Luan Chagas,15-2-1,182,170
Alex Chambers,5-4-0,160,115
Gabriel Checco,10-2-0,185,185
Mark Cherico,11-2-0,170,145
Michael Chiesa,14-4-0,185,155
Giga Chikadze,5-1-0,182,145
Dooho Choi,14-2-0,177,145
Katlyn Chookagian,10-1-0,175,125
Joachim Christensen,14-6-0,190,205
Misha Cirkunov,13-4-0,190,205
Devin Clark,9-2-0,182,205
Heather Jo Clark,7-6-0,167,115
Jessica-Rose Clark,"9-4-0, 1NC",165,125
Mitch Clarke,11-5-0,177,155
Jamie Colleen,4-1-0,160,115
Jake Collier,11-4-0,190,205
Christian Colombo,8-3-1,195,265
Carlos Condit,30-12-0,187,170
Amanda Cooper,4-4-0,160,115
Michael Cora,4-2-0,180,170
Daniel Cormier,"21-1-0, 1NC",180,235
Bethe Correia,10-3-1,165,135
Paulo Costa,12-0-0,185,185
Oscar Cota,"10-1-0, 1NC",187,203
Rashad Coulter,8-4-0,180,245
Colby Covington,14-1-0,180,170
Nathan Coy,15-7-0,177,170
Paul Craig,9-2-0,193,205
Allen Crowder,"9-3-0, 1NC",190,245
Jim Crute,8-0-0,187,205
Dominick Cruz,22-2-0,172,135
Jay Cucciniello,9-1-0,170,145
Zak Cummings,21-6-0,182,170
Patrick Cummins,10-4-0,187,205
Alton Cunningham,5-0-0,187,185
Chris Curtis,19-5-0,177,170
Ion Cutelaba,"13-3-0, 1NC",185,205
Cris Cyborg,"20-1-0, 1NC",172,145
