Name,Record,Height,Weight
Viviane Pereira,13-1-0,152,115
Danielle Taylor,9-3-0,152,115
Carla Esparza,14-5-0,154,115
Jamie Moyle,4-3-0,154,115
Tecia Torres,10-2-0,154,115
Jessica Andrade,18-6-0,157,115
Tina Lahdemaki,5-1-0,157,115
Alexandra Albu,7-0-0,160,115
Alex Chambers,5-4-0,160,115
Jamie Colleen,4-1-0,160,115
Amanda Cooper,4-4-0,160,115
Jodie Esquibel,6-4-0,160,115
Angela Hill,8-4-0,160,115
Karolina Kowalkiew...,12-2-0,160,115
Tiffany Masters,2-1-0,160,115
Michelle Waterson,15-6-0,160,115
Jessica Aguilar,20-6-0,162,115
Cynthia Calvillo,6-1-0,162,115
Mackenzie Dern,7-0-0,162,115
Claudia Gadelha,16-3-0,162,115
Pearl Gonzalez,6-2-0,162,115
Felice Herrig,14-7-0,162,115
Syuri Kondo,6-1-0,162,115
Randa Markos,8-6-0,162,115
Amanda Ribas,6-1-0,162,115
Livinha Souza,11-1-0,162,115
Maia Stevenson,6-5-0,162,115
Weili Zhang,16-1-0,162,115
JJ Aldrich,6-2-0,165,115
Nina Ansaroff,8-5-0,165,115
Maycee Barber,4-0-0,165,115
Alexa Grasso,10-2-0,165,115
Nadia Kassem,5-0-0,165,115
Juliana Lima,9-5-0,165,115
Rose Namajunas,9-3-0,165,115
Jessica Penne,12-6-0,165,115
Tatiana Suarez,7-0-0,165,115
Polyana Viana,10-1-0,165,115
Yan Xiaonan,"8-1-0, 1NC",165,115
Yan Xionan,"8-1-0, 1NC",165,115
Joanne Calderwood,11-3-0,167,115
Heather Jo Clark,7-6-0,167,115
Joanna Jedrzejczyk,14-2-0,167,115
Chanmi Jeon,5-2-0,167,115
Cortney Casey,7-5-0,170,115
Maryna Moroz,8-3-0,170,115
Ashley Yoder,5-4-0,170,115
Poliana Botelho,7-1-0,172,115
Hector Sandoval,14-4-0,157,125
Jarred Brooks,13-2-0,160,125
Demetrious Johnson,27-2-1,160,125
Silvana Juarez,6-2-0,160,125
Rachael Ostovich,4-4-0,160,125
Joseph Benavidez,25-5-0,162,125
Ray Borg,11-3-0,162,125
Henry Cejudo,12-2-0,162,125
Sijara Eubanks,4-2-0,162,125
